2015-12-22-11:20:52	tcp server listen 0.0.0.0:9000 
2015-12-22-11:31:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:31:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:48	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:49	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:50	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:51	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:52	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:53	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:54	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:55	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:56	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:57	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:58	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:32:59	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:00	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:01	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:02	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:03	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:04	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:05	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:06	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:07	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:08	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:09	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:10	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:11	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:12	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:13	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:14	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:15	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:16	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:17	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:18	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:19	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:20	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:21	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:22	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:23	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:24	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:25	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:26	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:27	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:28	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:29	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:30	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:31	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:32	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:33	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:34	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:35	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:36	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:37	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:38	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:39	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:40	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:41	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:42	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:43	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:44	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:45	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:46	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:47	current conn:0, QPS:0, read flux:0, write flux:0
2015-12-22-11:33:47	current conn:0, QPS:0, read flux:0, write flux:0
